epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,3638.71,1.08178,0.94,1.25465,0.87595,0.70671,0.79424,0.51363,1.15013,0.70754,1.19041,0.000260007,0.000260007,0.000260007
150,3662.67,1.07662,0.926,1.24922,0.86648,0.71705,0.79975,0.51778,1.13538,0.69604,1.17579,0.000255007,0.000255007,0.000255007
151,3686.61,1.04159,0.90045,1.23084,0.86339,0.70959,0.79554,0.51614,1.13348,0.7043,1.17327,0.000250008,0.000250008,0.000250008
152,3710.7,1.0683,0.91073,1.24134,0.86366,0.71613,0.79835,0.5202,1.13143,0.69475,1.16778,0.000245008,0.000245008,0.000245008
153,3734.65,1.06711,0.91663,1.24212,0.85974,0.71863,0.79868,0.51816,1.13351,0.69981,1.17444,0.000240008,0.000240008,0.000240008
154,3758.48,1.06994,0.91715,1.24301,0.85498,0.72292,0.79704,0.51605,1.13906,0.69867,1.17861,0.000235008,0.000235008,0.000235008
155,3782.26,1.06143,0.90742,1.24285,0.85554,0.72077,0.79737,0.51538,1.1358,0.7046,1.17318,0.000230008,0.000230008,0.000230008
156,3806.15,1.0668,0.9101,1.24203,0.86838,0.71892,0.79942,0.51961,1.13153,0.70031,1.17177,0.000225008,0.000225008,0.000225008
157,3830.17,1.05437,0.90991,1.24163,0.85682,0.72751,0.79843,0.52256,1.11964,0.69274,1.1647,0.000220008,0.000220008,0.000220008
158,3854.08,1.04477,0.89242,1.22962,0.86052,0.71991,0.79831,0.52086,1.12356,0.68798,1.16624,0.000215008,0.000215008,0.000215008
159,3877.91,1.04974,0.90194,1.23734,0.85648,0.72567,0.8014,0.52582,1.11242,0.68431,1.16228,0.000210008,0.000210008,0.000210008
160,3901.79,1.04583,0.89961,1.23373,0.859,0.72435,0.79932,0.52427,1.12245,0.6871,1.16433,0.000205008,0.000205008,0.000205008
161,3925.58,1.04787,0.89894,1.22728,0.86444,0.72216,0.80114,0.52541,1.115,0.68288,1.15562,0.000200008,0.000200008,0.000200008
162,3949.52,1.04613,0.90315,1.23341,0.8614,0.72343,0.80246,0.52471,1.12118,0.68611,1.16376,0.000195008,0.000195008,0.000195008
